id;name;text;vocavulary_id
412;PARTICIPIO  PASADO ;Meant;85
413;PARTICIPIO  PASADO ;Met;86
414;PARTICIPIO  PASADO ;Mistaken;87
415;PARTICIPIO  PASADO ;Overcome;88
416;PARTICIPIO  PASADO ;Paid;89
417;PARTICIPIO  PASADO ;Pleaded/ Pled;90
418;PARTICIPIO  PASADO ;Preset;91
419;PARTICIPIO  PASADO ;Proven/ Proved;92
420;PARTICIPIO  PASADO ;Put;93
421;PARTICIPIO  PASADO ;Quit/ Quitted;94
422;PARTICIPIO  PASADO ;Read;95
423;PARTICIPIO  PASADO ;Reset;96
424;PARTICIPIO  PASADO ;Rewound;97
425;PARTICIPIO  PASADO ;Ridden;98
426;PARTICIPIO  PASADO ;Rung;99
427;PARTICIPIO  PASADO ;Risen;100
428;PARTICIPIO  PASADO ;Run;101
429;PARTICIPIO  PASADO ;Said;102
430;PARTICIPIO  PASADO ;Seen;103
431;PARTICIPIO  PASADO ;Sold;104
432;PARTICIPIO  PASADO ;Sent;105
433;PARTICIPIO  PASADO ;Set;106
434;PARTICIPIO  PASADO ;Sewn/ Sewed;107
435;PARTICIPIO  PASADO ;Shaken;108
436;PARTICIPIO  PASADO ;Shaved/ Shaven;109
437;PARTICIPIO  PASADO ;sheared/shorn;110
438;PARTICIPIO  PASADO ;Shone;111
439;PARTICIPIO  PASADO ;Shot;112
440;PARTICIPIO  PASADO ;Shown/ Showed;113
441;PARTICIPIO  PASADO ;Shrunk;114
442;PARTICIPIO  PASADO ;Shut;115
443;PARTICIPIO  PASADO ;Sung;116
444;PARTICIPIO  PASADO ;Sunk;117
445;PARTICIPIO  PASADO ;Sat;118
446;PARTICIPIO  PASADO ;Slept;119
447;PARTICIPIO  PASADO ;Slid;120
448;PARTICIPIO  PASADO ;Smelled/ Smelt;121
449;PARTICIPIO  PASADO ;Sown/ Sowed;122
450;PARTICIPIO  PASADO ;Spoken;123
451;PARTICIPIO  PASADO ;Sped/ Speeded;124
452;PARTICIPIO  PASADO ;Spelt/ Spelled;125
453;PARTICIPIO  PASADO ;Spent;126
454;PARTICIPIO  PASADO ;Spilt/ Spilled;127
455;PARTICIPIO  PASADO ;Spun;128
456;PARTICIPIO  PASADO ;Spit/ Spat;129
457;PARTICIPIO  PASADO ;Split;130
458;PARTICIPIO  PASADO ;Spoilt/ Spoiled;131
459;PARTICIPIO  PASADO ;Spread;132
460;PARTICIPIO  PASADO ;Stood;133
461;PARTICIPIO  PASADO ;Stolen;134
462;PARTICIPIO  PASADO ;Stuck;135
463;PARTICIPIO  PASADO ;Stunk;136
464;PARTICIPIO  PASADO ;Strewn/ Strewed;137
465;PARTICIPIO  PASADO ;Struck/ Stricken;138
466;PARTICIPIO  PASADO ;Sworn;139
467;PARTICIPIO  PASADO ;Sweat/ Sweated;140
468;PARTICIPIO  PASADO ;Swept;141
469;PARTICIPIO  PASADO ;Swum;142
470;PARTICIPIO  PASADO ;Taken;143
471;PARTICIPIO  PASADO ;Taught;144
472;PARTICIPIO  PASADO ;Torn;145
473;PARTICIPIO  PASADO ;Telecast;146
474;PARTICIPIO  PASADO ;Told;147
475;PARTICIPIO  PASADO ;Thought;148
476;PARTICIPIO  PASADO ;Thrown;149
477;PARTICIPIO  PASADO ;Trodden/ Trod;150
478;PARTICIPIO  PASADO ;Understood;151
479;PARTICIPIO  PASADO ;Undone;152
480;PARTICIPIO  PASADO ;Unfrozen;153
481;PARTICIPIO  PASADO ;Woken;154
482;PARTICIPIO  PASADO ;Worn;155
483;PARTICIPIO  PASADO ;Woven;156
484;PARTICIPIO  PASADO ;Wed/ Wedded;157
485;PARTICIPIO  PASADO ;Wept;158
486;PARTICIPIO  PASADO ;Won;159
487;PARTICIPIO  PASADO ;Wrung;160
488;PARTICIPIO  PASADO ;Written;161
489;ESPAÑOL;Llegar a ser;6
490;ESPAÑOL;Empezar;7
491;ESPAÑOL;Doblar;8
492;ESPAÑOL;Apostar;9
493;ESPAÑOL;Rogar,desear;10
494;ESPAÑOL;Pujar;11
495;ESPAÑOL;Atar;12
496;ESPAÑOL;Morder;13
497;ESPAÑOL;Sangrar;14
498;ESPAÑOL;Soplar;15
499;ESPAÑOL;Romper;16
500;ESPAÑOL;Criar;17
501;ESPAÑOL;Traer;18
502;ESPAÑOL;Transmitir;19
503;ESPAÑOL;Intimidar;20
504;ESPAÑOL;Construir;21
505;ESPAÑOL;Quemar;22
506;ESPAÑOL;Estallar,reventar;23
507;ESPAÑOL;Comprar;24
